subassembly,fabrication_class,part_id,path
400,ALU_7075,RVX1_400_05A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_05A.STEP
400,ALU_7075,RVX1_400_11A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_11A.STEP
400,ALU_7075,RVX1_400_13A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_13A.STEP
400,ALU_7075,RVX1_400_14A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_14A.STEP
400,ALU_7075,RVX1_400_17A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_17A.STEP
400,ALU_7075,RVX1_400_18A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_18A.STEP
400,ALU_7075,RVX1_400_19A,mechanical/RVX1/400/FABRICATION/ALU_7075/RVX1_400_19A.STEP
400,SML_316L,RVX1_400_02B,mechanical/RVX1/400/FABRICATION/SML_316L/RVX1_400_02B.STEP
400,SML_316L,RVX1_400_03B,mechanical/RVX1/400/FABRICATION/SML_316L/RVX1_400_03B.STEP
400,SML_316L,RVX1_400_12B,mechanical/RVX1/400/FABRICATION/SML_316L/RVX1_400_12B.STEP
400,SML_316L,RVX1_400_20B,mechanical/RVX1/400/FABRICATION/SML_316L/RVX1_400_20B.STEP
400,MJF_PA12,RVX1_400_06C,mechanical/RVX1/400/FABRICATION/MJF_PA12/RVX1_400_06C.STEP
400,MJF_PA12,RVX1_400_07C,mechanical/RVX1/400/FABRICATION/MJF_PA12/RVX1_400_07C.STEP
400,MJF_PA12,RVX1_400_15C,mechanical/RVX1/400/FABRICATION/MJF_PA12/RVX1_400_15C.step
400,MJF_PA12,RVX1_400_16C,mechanical/RVX1/400/FABRICATION/MJF_PA12/RVX1_400_16C.step
400,OFF_THE_SHELF,RVX1_400_01X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_01X.STEP
400,OFF_THE_SHELF,RVX1_400_08X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_08X.STEP
400,OFF_THE_SHELF,RVX1_400_09X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_09X.STEP
400,OFF_THE_SHELF,RVX1_400_10X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_10X.STEP
400,OFF_THE_SHELF,RVX1_400_21X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_21X.STEP
400,OFF_THE_SHELF,RVX1_400_22X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_22X.STEP
400,OFF_THE_SHELF,RVX1_400_23X,mechanical/RVX1/400/FABRICATION/OFF_THE_SHELF/RVX1_400_23X.STEP
500,ALU_7075,RVX1_500_05A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_05A.STEP
500,ALU_7075,RVX1_500_06A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_06A.STEP
500,ALU_7075,RVX1_500_08A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_08A.STEP
500,ALU_7075,RVX1_500_09A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_09A.STEP
500,ALU_7075,RVX1_500_12A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_12A.STEP
500,ALU_7075,RVX1_500_23A_SS,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_23A_SS.STEP
500,ALU_7075,RVX1_500_24A_SS,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_24A_SS.STEP
500,ALU_7075,RVX1_500_25A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_25A.STEP
500,ALU_7075,RVX1_500_36A,mechanical/RVX1/500/FABRICATION/ALU_7075/RVX1_500_36A.STEP
500,SML_316L,RVX1_500_01B,mechanical/RVX1/500/FABRICATION/SML_316L/RVX1_500_01B.STEP
500,SML_316L,RVX1_500_17B,mechanical/RVX1/500/FABRICATION/SML_316L/RVX1_500_17B.STEP
500,SML_316L,RVX1_500_18B,mechanical/RVX1/500/FABRICATION/SML_316L/RVX1_500_18B.STEP
500,SML_316L,RVX1_500_26B,mechanical/RVX1/500/FABRICATION/SML_316L/RVX1_500_26B.STEP
500,MJF_PA12,RVX1_500_03C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_03C.STEP
500,MJF_PA12,RVX1_500_04C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_04C.STEP
500,MJF_PA12,RVX1_500_10C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_10C.STEP
500,MJF_PA12,RVX1_500_13C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_13C.STEP
500,MJF_PA12,RVX1_500_14C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_14C.STEP
500,MJF_PA12,RVX1_500_37C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_37C.STEP
500,MJF_PA12,RVX1_500_38C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_38C.STEP
500,MJF_PA12,RVX1_500_39C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_39C.STEP
500,MJF_PA12,RVX1_500_40C,mechanical/RVX1/500/FABRICATION/MJF_PA12/RVX1_500_40C.STEP
500,OFF_THE_SHELF,RVX1_500_02X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_02X.STEP
500,OFF_THE_SHELF,RVX1_500_07X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_07X.STEP
500,OFF_THE_SHELF,RVX1_500_11X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_11X.STEP
500,OFF_THE_SHELF,RVX1_500_15X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_15X.STEP
